,Features
4315,"{'danceability': 0.338, 'energy': 0.621, 'key': 2, 'loudness': -6.371, 'mode': 0, 'speechiness': 0.0381, 'acousticness': 0.000428, 'instrumentalness': 0.295, 'liveness': 0.228, 'valence': 0.505, 'tempo': 152.413, 'type': 'audio_features', 'id': '3oCUlPYV4YLR7UJkLfZEhQ', 'uri': 'spotify:track:3oCUlPYV4YLR7UJkLfZEhQ', 'track_href': 'https://api.spotify.com/v1/tracks/3oCUlPYV4YLR7UJkLfZEhQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3oCUlPYV4YLR7UJkLfZEhQ', 'duration_ms': 332293, 'time_signature': 4}"
4316,"{'danceability': 0.573, 'energy': 0.545, 'key': 7, 'loudness': -4.247, 'mode': 0, 'speechiness': 0.0288, 'acousticness': 0.0969, 'instrumentalness': 0, 'liveness': 0.329, 'valence': 0.297, 'tempo': 83.378, 'type': 'audio_features', 'id': '7vgTNTaEz3CsBZ1N4YQalM', 'uri': 'spotify:track:7vgTNTaEz3CsBZ1N4YQalM', 'track_href': 'https://api.spotify.com/v1/tracks/7vgTNTaEz3CsBZ1N4YQalM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7vgTNTaEz3CsBZ1N4YQalM', 'duration_ms': 271387, 'time_signature': 4}"
4317,"{'danceability': 0.41, 'energy': 0.761, 'key': 4, 'loudness': -9.453, 'mode': 0, 'speechiness': 0.0687, 'acousticness': 0.0682, 'instrumentalness': 0.0077, 'liveness': 0.0758, 'valence': 0.391, 'tempo': 132.889, 'type': 'audio_features', 'id': '0YveezON7jpiaHA8fnUHxN', 'uri': 'spotify:track:0YveezON7jpiaHA8fnUHxN', 'track_href': 'https://api.spotify.com/v1/tracks/0YveezON7jpiaHA8fnUHxN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0YveezON7jpiaHA8fnUHxN', 'duration_ms': 510573, 'time_signature': 4}"
4318,"{'danceability': 0.752, 'energy': 0.468, 'key': 4, 'loudness': -11.961, 'mode': 0, 'speechiness': 0.206, 'acousticness': 0.192, 'instrumentalness': 0, 'liveness': 0.0552, 'valence': 0.359, 'tempo': 147.072, 'type': 'audio_features', 'id': '5k1S0s4VnHYI7YEyysnZQw', 'uri': 'spotify:track:5k1S0s4VnHYI7YEyysnZQw', 'track_href': 'https://api.spotify.com/v1/tracks/5k1S0s4VnHYI7YEyysnZQw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5k1S0s4VnHYI7YEyysnZQw', 'duration_ms': 170549, 'time_signature': 4}"
4319,"{'danceability': 0.435, 'energy': 0.908, 'key': 4, 'loudness': -4.469, 'mode': 0, 'speechiness': 0.0972, 'acousticness': 0.106, 'instrumentalness': 0.000107, 'liveness': 0.387, 'valence': 0.226, 'tempo': 105.009, 'type': 'audio_features', 'id': '1XKIRSjDflLr7BQbJpvIEW', 'uri': 'spotify:track:1XKIRSjDflLr7BQbJpvIEW', 'track_href': 'https://api.spotify.com/v1/tracks/1XKIRSjDflLr7BQbJpvIEW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1XKIRSjDflLr7BQbJpvIEW', 'duration_ms': 161600, 'time_signature': 4}"
4320,"{'danceability': 0.318, 'energy': 0.958, 'key': 10, 'loudness': -2.683, 'mode': 1, 'speechiness': 0.442, 'acousticness': 0.0603, 'instrumentalness': 4.68e-06, 'liveness': 0.0981, 'valence': 0.3, 'tempo': 163.089, 'type': 'audio_features', 'id': '464HG7mt7NNKtKY0Hco8Y8', 'uri': 'spotify:track:464HG7mt7NNKtKY0Hco8Y8', 'track_href': 'https://api.spotify.com/v1/tracks/464HG7mt7NNKtKY0Hco8Y8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/464HG7mt7NNKtKY0Hco8Y8', 'duration_ms': 206200, 'time_signature': 4}"
4321,"{'danceability': 0.661, 'energy': 0.973, 'key': 0, 'loudness': -2.994, 'mode': 0, 'speechiness': 0.037, 'acousticness': 0.11, 'instrumentalness': 1.74e-05, 'liveness': 0.617, 'valence': 0.75, 'tempo': 108.037, 'type': 'audio_features', 'id': '6sbXGUn9V9ZaLwLdOfpKRE', 'uri': 'spotify:track:6sbXGUn9V9ZaLwLdOfpKRE', 'track_href': 'https://api.spotify.com/v1/tracks/6sbXGUn9V9ZaLwLdOfpKRE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6sbXGUn9V9ZaLwLdOfpKRE', 'duration_ms': 232827, 'time_signature': 4}"
4322,"{'danceability': 0.61, 'energy': 0.788, 'key': 0, 'loudness': -5.724, 'mode': 1, 'speechiness': 0.0585, 'acousticness': 0.195, 'instrumentalness': 0.0142, 'liveness': 0.153, 'valence': 0.472, 'tempo': 101.045, 'type': 'audio_features', 'id': '5hc71nKsUgtwQ3z52KEKQk', 'uri': 'spotify:track:5hc71nKsUgtwQ3z52KEKQk', 'track_href': 'https://api.spotify.com/v1/tracks/5hc71nKsUgtwQ3z52KEKQk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5hc71nKsUgtwQ3z52KEKQk', 'duration_ms': 347520, 'time_signature': 4}"
4323,"{'danceability': 0.524, 'energy': 0.906, 'key': 7, 'loudness': -4.301, 'mode': 1, 'speechiness': 0.0963, 'acousticness': 0.037, 'instrumentalness': 3.64e-05, 'liveness': 0.309, 'valence': 0.605, 'tempo': 123.1, 'type': 'audio_features', 'id': '2j0zExWFB0PowLOeoZosjK', 'uri': 'spotify:track:2j0zExWFB0PowLOeoZosjK', 'track_href': 'https://api.spotify.com/v1/tracks/2j0zExWFB0PowLOeoZosjK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2j0zExWFB0PowLOeoZosjK', 'duration_ms': 266267, 'time_signature': 4}"
4324,"{'danceability': 0.597, 'energy': 0.696, 'key': 5, 'loudness': -6.196, 'mode': 0, 'speechiness': 0.0278, 'acousticness': 0.00101, 'instrumentalness': 0.0735, 'liveness': 0.255, 'valence': 0.397, 'tempo': 107.96, 'type': 'audio_features', 'id': '4PvD06Pmbm2rHG2JjSlElF', 'uri': 'spotify:track:4PvD06Pmbm2rHG2JjSlElF', 'track_href': 'https://api.spotify.com/v1/tracks/4PvD06Pmbm2rHG2JjSlElF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4PvD06Pmbm2rHG2JjSlElF', 'duration_ms': 249740, 'time_signature': 4}"
4325,"{'danceability': 0.532, 'energy': 0.495, 'key': 10, 'loudness': -6.662, 'mode': 1, 'speechiness': 0.0343, 'acousticness': 0.659, 'instrumentalness': 0, 'liveness': 0.0754, 'valence': 0.308, 'tempo': 124.936, 'type': 'audio_features', 'id': '4U45aEWtQhrm8A5mxPaFZ7', 'uri': 'spotify:track:4U45aEWtQhrm8A5mxPaFZ7', 'track_href': 'https://api.spotify.com/v1/tracks/4U45aEWtQhrm8A5mxPaFZ7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4U45aEWtQhrm8A5mxPaFZ7', 'duration_ms': 214240, 'time_signature': 4}"
4326,"{'danceability': 0.44, 'energy': 0.915, 'key': 11, 'loudness': -7.745, 'mode': 0, 'speechiness': 0.0401, 'acousticness': 6.64e-06, 'instrumentalness': 0.839, 'liveness': 0.114, 'valence': 0.76, 'tempo': 145.277, 'type': 'audio_features', 'id': '1NFF6h7PeJLOBBywgLeGi9', 'uri': 'spotify:track:1NFF6h7PeJLOBBywgLeGi9', 'track_href': 'https://api.spotify.com/v1/tracks/1NFF6h7PeJLOBBywgLeGi9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1NFF6h7PeJLOBBywgLeGi9', 'duration_ms': 250252, 'time_signature': 4}"
4327,"{'danceability': 0.657, 'energy': 0.405, 'key': 0, 'loudness': -8.637, 'mode': 0, 'speechiness': 0.0584, 'acousticness': 0.525, 'instrumentalness': 0.072, 'liveness': 0.146, 'valence': 0.0673, 'tempo': 133.895, 'type': 'audio_features', 'id': '7IpDQcksaT8SxS7vOX4SRm', 'uri': 'spotify:track:7IpDQcksaT8SxS7vOX4SRm', 'track_href': 'https://api.spotify.com/v1/tracks/7IpDQcksaT8SxS7vOX4SRm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7IpDQcksaT8SxS7vOX4SRm', 'duration_ms': 196360, 'time_signature': 4}"
4328,"{'danceability': 0.418, 'energy': 0.909, 'key': 8, 'loudness': -2.977, 'mode': 1, 'speechiness': 0.0829, 'acousticness': 0.00388, 'instrumentalness': 0.00321, 'liveness': 0.201, 'valence': 0.529, 'tempo': 81.042, 'type': 'audio_features', 'id': '28FTCznKZRfYwJVA9OmPif', 'uri': 'spotify:track:28FTCznKZRfYwJVA9OmPif', 'track_href': 'https://api.spotify.com/v1/tracks/28FTCznKZRfYwJVA9OmPif', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/28FTCznKZRfYwJVA9OmPif', 'duration_ms': 213573, 'time_signature': 4}"
4329,"{'danceability': 0.243, 'energy': 0.609, 'key': 10, 'loudness': -8.451, 'mode': 1, 'speechiness': 0.0323, 'acousticness': 0.663, 'instrumentalness': 1.13e-05, 'liveness': 0.221, 'valence': 0.333, 'tempo': 166.668, 'type': 'audio_features', 'id': '4lO57zZGFcj7vSY4QhfVDq', 'uri': 'spotify:track:4lO57zZGFcj7vSY4QhfVDq', 'track_href': 'https://api.spotify.com/v1/tracks/4lO57zZGFcj7vSY4QhfVDq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4lO57zZGFcj7vSY4QhfVDq', 'duration_ms': 258027, 'time_signature': 4}"
4330,"{'danceability': 0.559, 'energy': 0.67, 'key': 7, 'loudness': -4.985, 'mode': 1, 'speechiness': 0.0474, 'acousticness': 0.592, 'instrumentalness': 0.000184, 'liveness': 0.171, 'valence': 0.438, 'tempo': 78.957, 'type': 'audio_features', 'id': '06WnUZymWyJamDivTWqJZA', 'uri': 'spotify:track:06WnUZymWyJamDivTWqJZA', 'track_href': 'https://api.spotify.com/v1/tracks/06WnUZymWyJamDivTWqJZA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/06WnUZymWyJamDivTWqJZA', 'duration_ms': 221895, 'time_signature': 4}"
4331,"{'danceability': 0.625, 'energy': 0.756, 'key': 7, 'loudness': -6.954, 'mode': 1, 'speechiness': 0.231, 'acousticness': 0.00933, 'instrumentalness': 0.00134, 'liveness': 0.324, 'valence': 0.673, 'tempo': 123.948, 'type': 'audio_features', 'id': '7qVLZuvzNjyiy3TVtEBwBE', 'uri': 'spotify:track:7qVLZuvzNjyiy3TVtEBwBE', 'track_href': 'https://api.spotify.com/v1/tracks/7qVLZuvzNjyiy3TVtEBwBE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7qVLZuvzNjyiy3TVtEBwBE', 'duration_ms': 284027, 'time_signature': 4}"
4332,"{'danceability': 0.399, 'energy': 0.965, 'key': 6, 'loudness': -5.901, 'mode': 1, 'speechiness': 0.143, 'acousticness': 0.00442, 'instrumentalness': 0.0314, 'liveness': 0.367, 'valence': 0.174, 'tempo': 98.464, 'type': 'audio_features', 'id': '3Hxu3Ey1TV9mZ5XqMXckiS', 'uri': 'spotify:track:3Hxu3Ey1TV9mZ5XqMXckiS', 'track_href': 'https://api.spotify.com/v1/tracks/3Hxu3Ey1TV9mZ5XqMXckiS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Hxu3Ey1TV9mZ5XqMXckiS', 'duration_ms': 216427, 'time_signature': 4}"
4333,"{'danceability': 0.565, 'energy': 0.867, 'key': 2, 'loudness': -5.497, 'mode': 0, 'speechiness': 0.0333, 'acousticness': 0.0297, 'instrumentalness': 0, 'liveness': 0.147, 'valence': 0.259, 'tempo': 115.006, 'type': 'audio_features', 'id': '32GWSQbpg1Ea1MMvl8HN23', 'uri': 'spotify:track:32GWSQbpg1Ea1MMvl8HN23', 'track_href': 'https://api.spotify.com/v1/tracks/32GWSQbpg1Ea1MMvl8HN23', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/32GWSQbpg1Ea1MMvl8HN23', 'duration_ms': 201427, 'time_signature': 4}"
4334,"{'danceability': 0.623, 'energy': 0.399, 'key': 2, 'loudness': -10.883, 'mode': 0, 'speechiness': 0.029, 'acousticness': 0.123, 'instrumentalness': 0.000103, 'liveness': 0.115, 'valence': 0.33, 'tempo': 134.68, 'type': 'audio_features', 'id': '17BBWuaTH2soxiyIaV6l5r', 'uri': 'spotify:track:17BBWuaTH2soxiyIaV6l5r', 'track_href': 'https://api.spotify.com/v1/tracks/17BBWuaTH2soxiyIaV6l5r', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/17BBWuaTH2soxiyIaV6l5r', 'duration_ms': 226973, 'time_signature': 4}"
4335,"{'danceability': 0.449, 'energy': 0.705, 'key': 6, 'loudness': -5.481, 'mode': 0, 'speechiness': 0.025, 'acousticness': 7.32e-05, 'instrumentalness': 0.000183, 'liveness': 0.445, 'valence': 0.566, 'tempo': 149.79, 'type': 'audio_features', 'id': '5KXVaC7wQiQIPDLyHUKgxe', 'uri': 'spotify:track:5KXVaC7wQiQIPDLyHUKgxe', 'track_href': 'https://api.spotify.com/v1/tracks/5KXVaC7wQiQIPDLyHUKgxe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5KXVaC7wQiQIPDLyHUKgxe', 'duration_ms': 254200, 'time_signature': 4}"
4336,"{'danceability': 0.741, 'energy': 0.58, 'key': 4, 'loudness': -9.05, 'mode': 1, 'speechiness': 0.0304, 'acousticness': 0.117, 'instrumentalness': 3.31e-05, 'liveness': 0.212, 'valence': 0.944, 'tempo': 127.402, 'type': 'audio_features', 'id': '0vOkmmJEtjuFZDzrQSFzEE', 'uri': 'spotify:track:0vOkmmJEtjuFZDzrQSFzEE', 'track_href': 'https://api.spotify.com/v1/tracks/0vOkmmJEtjuFZDzrQSFzEE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0vOkmmJEtjuFZDzrQSFzEE', 'duration_ms': 171267, 'time_signature': 4}"
4337,"{'danceability': 0.457, 'energy': 0.308, 'key': 0, 'loudness': -11.474, 'mode': 1, 'speechiness': 0.0398, 'acousticness': 0.309, 'instrumentalness': 1.5e-06, 'liveness': 0.107, 'valence': 0.272, 'tempo': 103.111, 'type': 'audio_features', 'id': '1k5iH4KDKi56MFvlnrALNV', 'uri': 'spotify:track:1k5iH4KDKi56MFvlnrALNV', 'track_href': 'https://api.spotify.com/v1/tracks/1k5iH4KDKi56MFvlnrALNV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1k5iH4KDKi56MFvlnrALNV', 'duration_ms': 178266, 'time_signature': 3}"
4338,"{'danceability': 0.551, 'energy': 0.44, 'key': 10, 'loudness': -8.559, 'mode': 1, 'speechiness': 0.0985, 'acousticness': 0.606, 'instrumentalness': 3.02e-05, 'liveness': 0.11, 'valence': 0.341, 'tempo': 167.923, 'type': 'audio_features', 'id': '5kfNriitmkNE8mUbZ7gbq8', 'uri': 'spotify:track:5kfNriitmkNE8mUbZ7gbq8', 'track_href': 'https://api.spotify.com/v1/tracks/5kfNriitmkNE8mUbZ7gbq8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5kfNriitmkNE8mUbZ7gbq8', 'duration_ms': 210667, 'time_signature': 4}"
4339,"{'danceability': 0.553, 'energy': 0.664, 'key': 8, 'loudness': -7.417, 'mode': 1, 'speechiness': 0.0741, 'acousticness': 0.0709, 'instrumentalness': 0.0056, 'liveness': 0.106, 'valence': 0.467, 'tempo': 140.06, 'type': 'audio_features', 'id': '59HjlYCeBsxdI0fcm3zglw', 'uri': 'spotify:track:59HjlYCeBsxdI0fcm3zglw', 'track_href': 'https://api.spotify.com/v1/tracks/59HjlYCeBsxdI0fcm3zglw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/59HjlYCeBsxdI0fcm3zglw', 'duration_ms': 220440, 'time_signature': 4}"
4340,"{'danceability': 0.532, 'energy': 0.748, 'key': 0, 'loudness': -5.223, 'mode': 1, 'speechiness': 0.0358, 'acousticness': 0.0275, 'instrumentalness': 4.76e-06, 'liveness': 0.153, 'valence': 0.12, 'tempo': 129.97, 'type': 'audio_features', 'id': '2nZco160YsPJdiTPq396aq', 'uri': 'spotify:track:2nZco160YsPJdiTPq396aq', 'track_href': 'https://api.spotify.com/v1/tracks/2nZco160YsPJdiTPq396aq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2nZco160YsPJdiTPq396aq', 'duration_ms': 225827, 'time_signature': 3}"
4341,"{'danceability': 0.712, 'energy': 0.723, 'key': 9, 'loudness': -10.141, 'mode': 1, 'speechiness': 0.0578, 'acousticness': 0.00308, 'instrumentalness': 5.91e-06, 'liveness': 0.0664, 'valence': 0.857, 'tempo': 91.88, 'type': 'audio_features', 'id': '3p3BfV7NeWCAHx9tSwsJEQ', 'uri': 'spotify:track:3p3BfV7NeWCAHx9tSwsJEQ', 'track_href': 'https://api.spotify.com/v1/tracks/3p3BfV7NeWCAHx9tSwsJEQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3p3BfV7NeWCAHx9tSwsJEQ', 'duration_ms': 282133, 'time_signature': 4}"
4342,"{'danceability': 0.765, 'energy': 0.824, 'key': 0, 'loudness': -6.354, 'mode': 1, 'speechiness': 0.0386, 'acousticness': 0.0436, 'instrumentalness': 2.75e-05, 'liveness': 0.16, 'valence': 0.349, 'tempo': 100.193, 'type': 'audio_features', 'id': '2IqPRjJAcLvPqAEbnB2VJz', 'uri': 'spotify:track:2IqPRjJAcLvPqAEbnB2VJz', 'track_href': 'https://api.spotify.com/v1/tracks/2IqPRjJAcLvPqAEbnB2VJz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2IqPRjJAcLvPqAEbnB2VJz', 'duration_ms': 278227, 'time_signature': 4}"
4343,"{'danceability': 0.32, 'energy': 0.91, 'key': 9, 'loudness': -5.321, 'mode': 1, 'speechiness': 0.114, 'acousticness': 0.000997, 'instrumentalness': 0, 'liveness': 0.16, 'valence': 0.22, 'tempo': 165.943, 'type': 'audio_features', 'id': '5BrxQCdse2b424hlurCvGz', 'uri': 'spotify:track:5BrxQCdse2b424hlurCvGz', 'track_href': 'https://api.spotify.com/v1/tracks/5BrxQCdse2b424hlurCvGz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5BrxQCdse2b424hlurCvGz', 'duration_ms': 214373, 'time_signature': 4}"
4344,"{'danceability': 0.546, 'energy': 0.813, 'key': 4, 'loudness': -10.143, 'mode': 0, 'speechiness': 0.0356, 'acousticness': 0.196, 'instrumentalness': 0.00502, 'liveness': 0.0486, 'valence': 0.427, 'tempo': 128.131, 'type': 'audio_features', 'id': '5KXTDunEgNVBnuSBDzsm6x', 'uri': 'spotify:track:5KXTDunEgNVBnuSBDzsm6x', 'track_href': 'https://api.spotify.com/v1/tracks/5KXTDunEgNVBnuSBDzsm6x', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5KXTDunEgNVBnuSBDzsm6x', 'duration_ms': 229333, 'time_signature': 4}"
4345,"{'danceability': 0.752, 'energy': 0.921, 'key': 5, 'loudness': -4.321, 'mode': 0, 'speechiness': 0.0696, 'acousticness': 0.0182, 'instrumentalness': 0, 'liveness': 0.256, 'valence': 0.634, 'tempo': 115.033, 'type': 'audio_features', 'id': '6AdLyvisRKHLAwARaZMGr6', 'uri': 'spotify:track:6AdLyvisRKHLAwARaZMGr6', 'track_href': 'https://api.spotify.com/v1/tracks/6AdLyvisRKHLAwARaZMGr6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6AdLyvisRKHLAwARaZMGr6', 'duration_ms': 236693, 'time_signature': 4}"
4346,"{'danceability': 0.277, 'energy': 0.744, 'key': 0, 'loudness': -9.756, 'mode': 0, 'speechiness': 0.0868, 'acousticness': 0.00681, 'instrumentalness': 0.00466, 'liveness': 0.246, 'valence': 0.227, 'tempo': 93.669, 'type': 'audio_features', 'id': '3ezGIgTmk2BZy9C3j0x1h9', 'uri': 'spotify:track:3ezGIgTmk2BZy9C3j0x1h9', 'track_href': 'https://api.spotify.com/v1/tracks/3ezGIgTmk2BZy9C3j0x1h9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ezGIgTmk2BZy9C3j0x1h9', 'duration_ms': 322133, 'time_signature': 4}"
4347,"{'danceability': 0.229, 'energy': 0.988, 'key': 10, 'loudness': -3.475, 'mode': 1, 'speechiness': 0.116, 'acousticness': 1.51e-05, 'instrumentalness': 0.000272, 'liveness': 0.0949, 'valence': 0.359, 'tempo': 144.96, 'type': 'audio_features', 'id': '0UXaslpoA81no74N7U56U9', 'uri': 'spotify:track:0UXaslpoA81no74N7U56U9', 'track_href': 'https://api.spotify.com/v1/tracks/0UXaslpoA81no74N7U56U9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0UXaslpoA81no74N7U56U9', 'duration_ms': 291213, 'time_signature': 4}"
4348,"{'danceability': 0.592, 'energy': 0.403, 'key': 0, 'loudness': -8.768, 'mode': 0, 'speechiness': 0.414, 'acousticness': 0.62, 'instrumentalness': 0, 'liveness': 0.54, 'valence': 0.391, 'tempo': 105.169, 'type': 'audio_features', 'id': '1eQBEelI2NCy7AUTerX0KS', 'uri': 'spotify:track:1eQBEelI2NCy7AUTerX0KS', 'track_href': 'https://api.spotify.com/v1/tracks/1eQBEelI2NCy7AUTerX0KS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1eQBEelI2NCy7AUTerX0KS', 'duration_ms': 320680, 'time_signature': 4}"
4349,"{'danceability': 0.519, 'energy': 0.833, 'key': 6, 'loudness': -6.947, 'mode': 0, 'speechiness': 0.0496, 'acousticness': 0.00572, 'instrumentalness': 4.33e-06, 'liveness': 0.104, 'valence': 0.532, 'tempo': 138.225, 'type': 'audio_features', 'id': '4f3RDq9nYPBeR1yMSgnmBm', 'uri': 'spotify:track:4f3RDq9nYPBeR1yMSgnmBm', 'track_href': 'https://api.spotify.com/v1/tracks/4f3RDq9nYPBeR1yMSgnmBm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4f3RDq9nYPBeR1yMSgnmBm', 'duration_ms': 310080, 'time_signature': 4}"
4350,"{'danceability': 0.54, 'energy': 0.823, 'key': 7, 'loudness': -5.122, 'mode': 1, 'speechiness': 0.0385, 'acousticness': 2.44e-05, 'instrumentalness': 0.00948, 'liveness': 0.0911, 'valence': 0.475, 'tempo': 112.282, 'type': 'audio_features', 'id': '557jg1bhE6fYKPtfEGZXGG', 'uri': 'spotify:track:557jg1bhE6fYKPtfEGZXGG', 'track_href': 'https://api.spotify.com/v1/tracks/557jg1bhE6fYKPtfEGZXGG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/557jg1bhE6fYKPtfEGZXGG', 'duration_ms': 265824, 'time_signature': 4}"
4351,"{'danceability': 0.499, 'energy': 0.876, 'key': 7, 'loudness': -4.374, 'mode': 1, 'speechiness': 0.0377, 'acousticness': 0.0431, 'instrumentalness': 5.11e-06, 'liveness': 0.572, 'valence': 0.355, 'tempo': 125.515, 'type': 'audio_features', 'id': '16lB9A8JqYZIwy2hO1kmXj', 'uri': 'spotify:track:16lB9A8JqYZIwy2hO1kmXj', 'track_href': 'https://api.spotify.com/v1/tracks/16lB9A8JqYZIwy2hO1kmXj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/16lB9A8JqYZIwy2hO1kmXj', 'duration_ms': 185733, 'time_signature': 4}"
4352,"{'danceability': 0.163, 'energy': 0.382, 'key': 0, 'loudness': -10.257, 'mode': 1, 'speechiness': 0.032, 'acousticness': 0.988, 'instrumentalness': 0.765, 'liveness': 0.129, 'valence': 0.193, 'tempo': 157.227, 'type': 'audio_features', 'id': '7lzEGogY7GBg4ikqeFreDd', 'uri': 'spotify:track:7lzEGogY7GBg4ikqeFreDd', 'track_href': 'https://api.spotify.com/v1/tracks/7lzEGogY7GBg4ikqeFreDd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7lzEGogY7GBg4ikqeFreDd', 'duration_ms': 141120, 'time_signature': 3}"
4353,"{'danceability': 0.627, 'energy': 0.614, 'key': 6, 'loudness': -6.006, 'mode': 0, 'speechiness': 0.17, 'acousticness': 0.0211, 'instrumentalness': 0, 'liveness': 0.0286, 'valence': 0.758, 'tempo': 96.038, 'type': 'audio_features', 'id': '4BycRneKmOs6MhYG9THsuX', 'uri': 'spotify:track:4BycRneKmOs6MhYG9THsuX', 'track_href': 'https://api.spotify.com/v1/tracks/4BycRneKmOs6MhYG9THsuX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4BycRneKmOs6MhYG9THsuX', 'duration_ms': 208947, 'time_signature': 4}"
4354,"{'danceability': 0.582, 'energy': 0.545, 'key': 4, 'loudness': -11.677, 'mode': 0, 'speechiness': 0.0298, 'acousticness': 0.017, 'instrumentalness': 4.05e-06, 'liveness': 0.229, 'valence': 0.721, 'tempo': 101.691, 'type': 'audio_features', 'id': '44xykY61s1aKsgf40A5cyI', 'uri': 'spotify:track:44xykY61s1aKsgf40A5cyI', 'track_href': 'https://api.spotify.com/v1/tracks/44xykY61s1aKsgf40A5cyI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/44xykY61s1aKsgf40A5cyI', 'duration_ms': 164893, 'time_signature': 4}"
4355,"{'danceability': 0.367, 'energy': 0.737, 'key': 0, 'loudness': -4.986, 'mode': 1, 'speechiness': 0.083, 'acousticness': 0.0054, 'instrumentalness': 0, 'liveness': 0.115, 'valence': 0.392, 'tempo': 154.285, 'type': 'audio_features', 'id': '2LwyJA7bLvglM9XdWeVCEj', 'uri': 'spotify:track:2LwyJA7bLvglM9XdWeVCEj', 'track_href': 'https://api.spotify.com/v1/tracks/2LwyJA7bLvglM9XdWeVCEj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2LwyJA7bLvglM9XdWeVCEj', 'duration_ms': 204520, 'time_signature': 4}"
4356,"{'danceability': 0.519, 'energy': 0.552, 'key': 2, 'loudness': -5.023, 'mode': 1, 'speechiness': 0.0259, 'acousticness': 0.18, 'instrumentalness': 0, 'liveness': 0.149, 'valence': 0.331, 'tempo': 89.957, 'type': 'audio_features', 'id': '3hLuHKzG1cmlRpq53ZVWd8', 'uri': 'spotify:track:3hLuHKzG1cmlRpq53ZVWd8', 'track_href': 'https://api.spotify.com/v1/tracks/3hLuHKzG1cmlRpq53ZVWd8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3hLuHKzG1cmlRpq53ZVWd8', 'duration_ms': 215141, 'time_signature': 4}"
4357,"{'danceability': 0.689, 'energy': 0.333, 'key': 0, 'loudness': -12.134, 'mode': 0, 'speechiness': 0.0307, 'acousticness': 0.817, 'instrumentalness': 5.13e-06, 'liveness': 0.285, 'valence': 0.471, 'tempo': 115.835, 'type': 'audio_features', 'id': '2stkLJ0JNcXkIRDNF3ld6c', 'uri': 'spotify:track:2stkLJ0JNcXkIRDNF3ld6c', 'track_href': 'https://api.spotify.com/v1/tracks/2stkLJ0JNcXkIRDNF3ld6c', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2stkLJ0JNcXkIRDNF3ld6c', 'duration_ms': 124160, 'time_signature': 4}"
